"","Local government","Garbage","Recyclables","Organics*","Glass","Diversion Rate","Waste and resource recovery group (WRRG)","URL"
"1","Alpine Shire","Y","Y",NA,NA,"0.41979720832235978","North East","http://www.alpineshire.vic.gov.au/Page/Page.aspx?Page_Id=1793

Falls Creek Resort Management
https://www.fallscreek.com.au/environment/

Mount Hotham Resort Management
https://rmb.mthotham.com.au/Our-Services/Waste-Management"
"2","Ararat Rural City","Y","Y",NA,NA,"0.25174159167032284","Grampians Central West","http://www.ararat.vic.gov.au/"
"3","Ballarat City","Y","Y","Y",NA,"0.42760690234597015","Grampians Central West","http://www.ballarat.vic.gov.au/ps/waste.aspx"
"4","Banyule City","Y","Y","Y",NA,"0.51074970601939162","Metropolitan","http://www.banyule.vic.gov.au/Services/Waste-Services-Rubbish-and-Recycling"
"5","Bass Coast Shire","Y","Y","Y",NA,"0.75817118757787794","Gippsland","http://www.basscoast.vic.gov.au/Services/Waste_Management"
"6","Baw Baw Shire","Y","Y","Y",NA,"0.52626340296008312","Gippsland","http://www.bawbawshire.vic.gov.au/Resident-Information/Rubbish-and-Environment

Mt Baw Baw Alpine Resort
https://mountbawbaw.com.au/environment"
"7","Bayside City","Y","Y","Y",NA,"0.5516366889645864","Metropolitan","https://www.bayside.vic.gov.au/where-take-household-chemicals-and-other-toxic-waste"
"8","Benalla Rural City","Y","Y","Y",NA,"0.58697423904184831","North East","http://www.benalla.vic.gov.au/Your-Community/Landfill-Waste-Recycling"
"9","Boroondara City","Y","Y","Y",NA,"0.47652972778759067","Metropolitan","https://www.boroondara.vic.gov.au/waste-environment/recycling-and-waste"
"10","Brimbank City","Y","Y","Y",NA,"0.3613335293881752","Metropolitan","https://www.brimbank.vic.gov.au/rubbish-recycling-and-waste"
"11","Buloke Shire","Y","Y",NA,NA,"0.25327812284334023","Loddon Mallee","http://www.buloke.vic.gov.au/Waste-and-Recycling"
"12","Campaspe Shire","Y","Y","Y",NA,"0.44315642458100557","Goulburn Valley","https://www.campaspe.vic.gov.au/Our-services/Waste-recycling"
"13","Cardinia Shire","Y","Y","Y",NA,"0.38314213488549176","Metropolitan","https://www.cardinia.vic.gov.au/rubbishandrecycling"
"14","Casey City","Y","Y","Y",NA,"0.47169696942550937","Metropolitan","http://www.casey.vic.gov.au/environment-waste/waste-recycling"
"15","Central Goldfields Shire","Y","Y","Y",NA,"0.43503779949284693","Grampians Central West","http://www.centralgoldfields.com.au/?id=2951010078C0538E3FFA46F0CA256CFA0013B60C"
"16","Colac Otway Shire","Y","Y","Y",NA,"0.4985905349794239","Barwon South Western","http://www.colacotway.vic.gov.au/My-property/Rubbish-recycling"
"17","Corangamite Shire","Y","Y","Y",NA,"0.62717293109059957","Barwon South Western","https://www.corangamite.vic.gov.au/Property/Rubbish-and-Recycling"
"18","Darebin City","Y","Y","Y",NA,"0.49111050202386597","Metropolitan","https://www.darebin.vic.gov.au/Waste-and-environment"
"19","East Gippsland Shire","Y","Y","Y",NA,"0.51079137801731778","Gippsland","http://www.eastgippsland.vic.gov.au/Services/Waste"
"20","Frankston City","Y","Y","Y",NA,"0.54456220235967112","Metropolitan","http://www.frankston.vic.gov.au/Environment_and_Waste/Waste_and_Recycling"
"21","Gannawarra Shire","Y","Y","Y",NA,"0.34118602761982131","Loddon Mallee","http://www.gannawarra.vic.gov.au/Property/Rubbish"
"22","Glen Eira City","Y","Y","Y",NA,"0.45298597894476372","Metropolitan","http://www.gleneira.vic.gov.au/Resident-services/Garbage-and-recycling"
"23","Glenelg Shire","Y","Y",NA,NA,"0.23639803960396039","Barwon South Western","http://www.glenelg.vic.gov.au/Waste_Management"
