"","Suburb","Postcode","LGA"
"1","Abbeyard","3737","Alpine Shire"
"2","Abbotsford","3067","Yarra City"
"3","Aberfeldie","3040","Moonee Valley City"
"4","Aberfeldy","3825","Baw Baw Shire"
"5","Acheron","3714","Murrindindi Shire"
"6","Acheron","3714","Murrindindi Shire"
"7","Adams Estate","3984","Bass Coast Shire"
"8","Addington","3352","Ballarat City"
"9","Adelaide Lead","3465","Central Goldfields Shire"
"10","Agnes","3962","South Gippsland Shire"
"11","Aintree","3336","Melton City"
"12","Aireys Inlet","3231","Surf Coast Shire"
"13","Airly","3851","Wellington Shire"
"14","Airport West","3042","Moonee Valley City"
"15","Albanvale","3021","Brimbank City"
"16","Albert Park","3206","Port Phillip City"
"17","Albert Park","3206","Port Phillip City"
"18","Alberton","3971","Wellington Shire"
"19","Alberton West","3971","Wellington Shire"
"20","Albion","3020","Brimbank City"
"21","Alexandra","3714","Murrindindi Shire"
"22","Alexandra","3714","Murrindindi Shire"
"23","Alexandra","3714","Murrindindi Shire"
"24","Alfredton","3350","Ballarat City"
"25","Alfredton","3350","Ballarat City"
"26","Allambee","3823","Baw Baw Shire"
"27","Allambee Reserve","3871","Baw Baw Shire"
"28","Allambee Reserve","3871","South Gippsland Shire"
"29","Allambee South","3871","South Gippsland Shire"
"30","Allans Flat","3691","Indigo Shire"
"31","Allansford","3277","Moyne Shire"
"32","Allansford","3277","Warrnambool City"
"33","Allendale","3364","Hepburn Shire"
"34","Allestree","3305","Glenelg Shire"
"35","Alma","3465","Central Goldfields Shire"
"36","Almonds","3727","Moira Shire"
"37","Almurta","3979","Bass Coast Shire"
"38","Alphington","3078","Darebin City"
"39","Alphington","3078","Yarra City"
"40","Altona","3018","Hobsons Bay City"
"41","Altona Meadows","3028","Hobsons Bay City"
"42","Altona Meadows","3028","Hobsons Bay City"
"43","Altona North","3025","Hobsons Bay City"
"44","Altona North","3025","Hobsons Bay City"
"45","Altona North","3025","Hobsons Bay City"
"46","Alvie","3249","Colac Otway Shire"
"47","Amherst","3371","Central Goldfields Shire"
"48","Amor","3825","Baw Baw Shire"
"49","Amphitheatre","3468","Pyrenees Shire"
"50","Amphitheatre","3468","Pyrenees Shire"
"51","Amphitheatre","3468","Pyrenees Shire"
"52","Anakie","3213","Golden Plains Shire"
"53","Anakie","3213","Greater Geelong City"
"54","Ancona","3715","Mansfield Shire"
"55","Anderson","3995","Bass Coast Shire"
"56","Anglers Rest","3898","East Gippsland Shire"
